Conid,Ticker,NAME,BOG_TH,SOG_TH,xx,Conid from IB excel,Check
5336,BWA,BORGWARNER,0.035669371,-0.032021201,,5336,0
5270,BSX,BOSTON SCIENTIFIC,0.027594595,-0.027517672,,5270,0
36320731,CHRW,CH ROBINSON WWD.,0.023476926,-0.021990196,,36320731,0
5111,BMY,BRISTOL MYERS SQUIBB,0.019,-0.019554163,,5111,0
6607470,AMG,AFFILIATED MANAGERS,0.035917044,-0.036059923,,6607470,0
10794,OKE,ONEOK,0.024166387,-0.031204529,,10794,0
5026974,AVB,AVALONBAY COMMNS.,0.036019943,-0.032467307,,5026974,0
3629755,URI,UNITED RENTALS,0.042191781,-0.046857143,,3629755,0
11020,SRE,SEMPRA EN.,0.017229099,-0.018300088,,11020,0
5100583,FDX,FEDEX,0.022605003,-0.022813272,,5100583,0
4173050,VRSN,VERISIGN,0.030883536,-0.024449973,,4173050,0
4493,APH,AMPHENOL 'A',0.024107173,-0.023945317,,4493,0
6608432,PWR,QUANTA SERVICES,0.032517375,-0.035488075,,6608432,0
6150,CSX,CSX,0.026840308,-0.028361702,,6150,0
754274,CVC,CABLEVISION SYS.,0.032492645,-0.032051592,,754274,0
5946,COG,CABOT OIL & GAS 'A',0.03557751,-0.035986779,,5946,0
5980,CPB,CAMPBELL SOUP,0.015117647,-0.014271445,,5980,0
276066,STZ,CONSTELLATION BRANDS 'A',0.02349619,-0.023559175,,276066,0
5407,CAH,CARDINAL HEALTH,0.018352923,-0.020530146,,5407,0
5437,CAT,CATERPILLAR,0.023243366,-0.026969789,,5437,0
267455,CELG,CELGENE,0.024,-0.027269461,,267455,0
1767080,CTXS,CITRIX SYS.,0.02631848,-0.026819093,,1767080,0
6180,CTL,CENTURYLINK,0.018,-0.024821844,,6180,0
267475,CERN,CERNER,0.02501833,-0.022795948,,267475,0
1520593,JPM,JP MORGAN CHASE & CO.,0.036,-0.033670822,,1520593,0
5651,CHD,CHURCH & DWIGHT CO.,0.0146547,-0.015781937,,5651,0
5702,CI,CIGNA,0.036903418,-0.034513705,,5702,0
267661,CINF,CINCINNATI FINL.,0.027,-0.027604306,,267661,0
268149,CTAS,CINTAS,0.021168582,-0.018253858,,268149,0
51575076,FTR,FRONTIER COMMUNICATIONS,0.024,-0.031499331,,51575076,0
268084,CSCO,CISCO SYSTEMS,0.020932597,-0.020215623,,268084,0
5794,CLX,CLOROX,0.014963253,-0.014482759,,5794,0
8894,KO,COCA COLA,0.013530499,-0.014320143,,8894,0
5749,CL,COLGATE-PALM.,0.014,-0.014340344,,5749,0
9358,MAR,MARRIOTT INTL.'A',0.030384047,-0.027386093,,9358,0
5800,CMA,COMERICA,0.043,-0.039931741,,5800,0
10188791,NRG,NRG ENERGY,0.031,-0.035940935,,10188791,0
37875225,CA,CA,0.021114342,-0.021183797,,37875225,0
5402,CAG,CONAGRA FOODS,0.014994384,-0.016241379,,5402,0
6691,ED,CONSOLIDATED EDISON,0.012628543,-0.013975803,,6691,0
5840,CMS,CMS ENERGY,0.019,-0.018511156,,5840,0
7655,GLW,CORNING,0.026560976,-0.028841657,,7655,0
4082282,SEE,SEALED AIR,0.026,-0.02448654,,4082282,0
6207,CMI,CUMMINS,0.036011643,-0.034591701,,6207,0
6477855,LLL,L3 COMMUNICATIONS HDG.,0.017512654,-0.018352317,,6477855,0
268627,DHI,D R HORTON,0.050412639,-0.042462647,,268627,0
6442,DHR,DANAHER,0.018465809,-0.017641294,,6442,0
6497,MCO,MOODY'S,0.036085816,-0.034375147,,6497,0
4728759,CTSH,COGNIZANT TECH.SLTN.'A',0.025923988,-0.027571429,,4728759,0
6437,TGT,TARGET,0.027,-0.024051738,,6437,0
1311127,DO,DIAMOND OFFS.DRL.,0.03084862,-0.03208322,,1311127,0
6393,DE,DEERE,0.028185618,-0.029104712,,6393,0
2841574,MS,MORGAN STANLEY,0.047707865,-0.048288793,,2841574,0
6478024,RSG,REPUBLIC SVS.'A',0.01913986,-0.022190083,,6478024,0
6459,DIS,WALT DISNEY,0.02082588,-0.019951599,,6459,0
49388062,DLTR,DOLLAR TREE,0.02590606,-0.024222363,,49388062,0
6517,DOV,DOVER,0.023557737,-0.022640146,,6517,0
6522,DOW,DOW CHEMICAL,0.026395349,-0.029216561,,6522,0
10811,OMC,OMNICOM GROUP,0.018953237,-0.019177445,,10811,0
6585,DTE,DTE ENERGY,0.015056497,-0.016763158,,6585,0
6477749,FLS,FLOWSERVE,0.032,-0.034010836,,6477749,0
661440,DRI,DARDEN RESTAURANTS,0.028583783,-0.02511756,,661440,0
4347086,EBAY,EBAY,0.026595329,-0.024285612,,4347086,0
6813,EMC,EMC,0.023360382,-0.02344222,,6813,0
10098,BAC,BANK OF AMERICA,0.049187845,-0.050397306,,10098,0
87335484,C,CITIGROUP,0.044677744,-0.062891984,,87335484,0
6832,EMN,EASTMAN CHEMICAL,0.0244462,-0.024825909,,6832,0
75961319,ETFC,E*TRADE FINANCIAL,0.051592593,-0.06135778,,75961319,0
6682,ECL,ECOLAB,0.017446663,-0.01797457,,6682,0
6737,PKI,PERKINELMER,0.021596585,-0.02408502,,6737,0
268995,EA,ELECTRONIC ARTS,0.030207547,-0.027818182,,268995,0
29624264,CRM,SALESFORCE.COM,0.035165361,-0.032590462,,29624264,0
6842,EMR,EMERSON ELECTRIC,0.021722371,-0.021862891,,6842,0
6946,ESS,ESSEX PROPERTY TST.,0.030234263,-0.029097417,,6946,0
6969,ETR,ENTERGY,0.0176097,-0.018977164,,6969,0
6890,EOG,EOG RES.,0.028486711,-0.029272086,,6890,0
6735,EFX,EQUIFAX,0.01863926,-0.018644464,,6735,0
6917,EQR,EQUITY RESD.TST.PROPS. SHBI,0.040610738,-0.035530864,,6917,0
57698865,EQT,EQT,0.028031434,-0.027992552,,57698865,0
1448477,EL,ESTEE LAUDER COS.'A',0.022495544,-0.020203158,,1448477,0
269082,EXPD,EXPEDITOR INTL.OF WASH.,0.027356612,-0.025563607,,269082,0
13977,XOM,EXXON MOBIL,0.017837209,-0.017366038,,13977,0
7238,FMC,FMC,0.029979704,-0.026866366,,7238,0
75960201,NEE,NEXTERA ENERGY,0.018218603,-0.01887734,,75960201,0
27727424,AIZ,ASSURANT,0.030220472,-0.03468902,,27727424,0
269120,FAST,FASTENAL,0.025432234,-0.025369807,,269120,0
269318,FITB,FIFTH THIRD BANCORP,0.062002991,-0.067436874,,269318,0
2585323,MTB,M&T BANK,0.034561089,-0.032230769,,2585323,0
269315,FISV,FISERV,0.018821969,-0.018104366,,269315,0
269345,FLIR,FLIR SYSTEMS,0.027,-0.025366429,,269345,0
44475946,M,MACY'S,0.039627244,-0.038839117,,44475946,0
4906,BEN,FRANKLIN RESOURCES,0.03,-0.02884827,,4906,0
7089,FCX,FREEPORT-MCMORAN,0.039230871,-0.043476692,,7089,0
7765,GPS,GAP,0.027964803,-0.026358044,,7765,0
224225737,XRAY,DENTSPLY SIRONA,0.019165179,-0.018655295,,224225737,0
7496,GD,GENERAL DYNAMICS,0.017754763,-0.01934375,,7496,0
7616,GIS,GENERAL MILLS,0.013,-0.013542734,,7616,0
7745,GPC,GENUINE PARTS,0.017763593,-0.017920502,,7745,0
269753,GILD,GILEAD SCIENCES,0.021003322,-0.023466856,,269753,0
7830,GT,GOODYEAR TIRE & RUB.,0.039189427,-0.0462,,7830,0
9657,MCK,MCKESSON,0.018247536,-0.022636314,,9657,0
4815747,NVDA,NVIDIA,0.037179724,-0.034911397,,4815747,0
7516,GE,GENERAL ELECTRIC,0.023150045,-0.030654676,,0,-7516
7867,GWW,WW GRAINGER,0.020760259,-0.019760764,,7867,0
7890,HAL,HALLIBURTON,0.029736086,-0.034093445,,7890,0
4627828,GS,GOLDMAN SACHS GP.,0.031110234,-0.034442936,,4627828,0
7935,HOG,HARLEY-DAVIDSON,0.03298229,-0.033011173,,7935,0
7896,HAR,HARMAN INTL.INDS.,0.039044668,-0.03360587,,7896,0
8160,HRS,HARRIS,0.02174946,-0.024819971,,8160,0
754956,HAS,HASBRO,0.024345937,-0.022685426,,754956,0
3655640,HSIC,HENRY SCHEIN,0.017946822,-0.016608089,,3655640,0
46126937,HCP,HCP,0.036130574,-0.035560137,,46126937,0
8097,HP,HELMERICH & PAYNE,0.03327373,-0.035740248,,8097,0
8199,HSY,HERSHEY,0.016666667,-0.01510084,,8199,0
6248713,FFIV,F5 NETWORKS,0.03424483,-0.030154015,,6248713,0
4740381,RAI,REYNOLDS AMERICAN,0.016770395,-0.016713162,,4740381,0
6248722,JNPR,JUNIPER NETWORKS,0.030608171,-0.027725481,,6248722,0
13277,UNM,UNUM GROUP,0.038,-0.040102564,,13277,0
7930,HD,HOME DEPOT,0.02481245,-0.022317387,,7930,0
8153,HRL,HORMEL FOODS,0.014784049,-0.015957092,,8153,0
8093,CNP,CENTERPOINT EN.,0.018350148,-0.021413793,,8093,0
8251,HUM,HUMANA,0.031833694,-0.030416263,,8251,0
270825,JBHT,HUNT JB TRANSPORT SVS.,0.027584392,-0.024544216,,270825,0
270018,HBAN,HUNTINGTON BCSH.,0.075705882,-0.064035088,,270018,0
5090107,RHT,RED HAT,0.030297921,-0.02778903,,5090107,0
26734397,BIIB,BIOGEN,0.025973658,-0.022888779,,26734397,0
8620,ITW,ILLINOIS TOOL WORKS,0.020147014,-0.019966015,,8620,0
270662,INTU,INTUIT,0.020774552,-0.019074261,,270662,0
270639,INTC,INTEL,0.0216053,-0.020117647,,270639,0
8385,IFF,INTL.FLAVORS & FRAG.,0.018407971,-0.018152884,,8385,0
8511,IP,INTERNATIONAL PAPER,0.03,-0.036394787,,8511,0
8514,IPG,INTERPUBLIC GROUP,0.042,-0.03340404,,8514,0
8660,JEC,JACOBS ENGR.,0.030712999,-0.033720293,,8660,0
8719,JNJ,JOHNSON & JOHNSON,0.011114914,-0.013264499,,8719,0
1217009,HIG,HARTFORD FINL.SVS.GP.,0.073372362,-0.075792725,,1217009,0
8650,JCI,JOHNSON CONTROLS,0.029262351,-0.028528158,,8650,0
270957,KLAC,KLA TENCOR,0.026936794,-0.024843543,,270957,0
754442,DVN,DEVON ENERGY,0.028341054,-0.031290549,,754442,0
8758,K,KELLOGG,0.013228296,-0.014182162,,8758,0
8809,KEY,KEYCORP,0.056594779,-0.058143824,,8809,0
8845,KIM,KIMCO REALTY,0.045319328,-0.045606061,,8845,0
8864,KMB,KIMBERLY-CLARK,0.012619152,-0.013561888,,8864,0
5049,BLK,BLACKROCK,0.032878788,-0.030127419,,5049,0
8942,KSS,KOHL'S,0.028832358,-0.025423685,,8942,0
8908,KR,KROGER,0.019,-0.019362319,,8908,0
271308,LRCX,LAM RESEARCH,0.031086141,-0.028476383,,271308,0
6220356,AKAM,AKAMAI TECHS.,0.032559165,-0.032882592,,6220356,0
9165,LM,LEGG MASON,0.042,-0.045085882,,9165,0
9081,LEG,LEGGETT&PLATT,0.024255608,-0.023792229,,9081,0
9091,LEN,LENNAR 'A',0.056111732,-0.049478076,,9091,0
9274,LUK,LEUCADIA NATIONAL,0.03,-0.035590002,,9274,0
9160,LLY,ELI LILLY,0.016436718,-0.018104242,,9160,0
9174,LNC,LINCOLN NATIONAL,0.057894737,-0.061006724,,9174,0
271245,LLTC,LINEAR TECHNOLOGY,0.022,-0.020390374,,271245,0
6231002,UPS,UNITED PARCEL SER.'B',0.017076828,-0.017065324,,6231002,0
1715006,A,AGILENT TECHS.,0.024383139,-0.024769419,,1715006,0
611191,LMT,LOCKHEED MARTIN,0.017421053,-0.018695622,,611191,0
9252,L,LOEWS,0.028274143,-0.025847523,,9252,0
5516,CCL,CARNIVAL,0.026449981,-0.026321812,,5516,0
6608450,RRC,RANGE RES.,0.037929864,-0.037233729,,6608450,0
9199,LOW,LOWE'S COMPANIES,0.027810207,-0.02315317,,9199,0
6327,D,DOMINION RESOURCES,0.015,-0.016117605,,6327,0
9322,MAC,MACERICH,0.061576638,-0.054795812,,9322,0
11902,SCG,SCANA,0.015,-0.01664977,,11902,0
271556,MKC,MCCORMICK & COMPANY NV.,0.013509424,-0.014411953,,271556,0
9408,MCD,MCDONALDS,0.015094604,-0.015268247,,9408,0
8101142,EW,EDWARDS LIFESCIENCES,0.020794831,-0.019745696,,8101142,0
8057,HST,HOST HOTELS & RESORTS,0.048960265,-0.043142343,,8057,0
9705,MMC,MARSH & MCLENNAN,0.025,-0.019272727,,9705,0
9360,MAS,MASCO,0.036354681,-0.03288477,,9360,0
272428,JWN,NORDSTROM,0.038575606,-0.03295921,,272428,0
10497,NSC,NORFOLK SOUTHERN,0.025525424,-0.026131042,,10497,0
10260,NI,NISOURCE,0.019,-0.019039405,,10260,0
10413985,COH,COACH,0.032220392,-0.029840389,,10413985,0
272565,NTRS,NORTHERN TRUST,0.029,-0.030208367,,272565,0
10376,NOC,NORTHROP GRUMMAN,0.017502824,-0.018193729,,10376,0
10375,WFC,WELLS FARGO & CO,0.043978124,-0.041634772,,10375,0
10557,NUE,NUCOR,0.030981702,-0.032183291,,10557,0
10523297,MON,MONSANTO,0.027425509,-0.027614704,,10523297,0
5941,COF,CAPITAL ONE FINL.,0.053666667,-0.043129789,,5941,0
10880,OXY,OCCIDENTAL PTL.,0.025049272,-0.027292517,,10880,0
272800,ORCL,ORACLE,0.020142306,-0.020693095,,272800,0
10760,OI,OWENS ILLINOIS NEW,0.032,-0.033775493,,10760,0
272992,PCAR,PACCAR,0.02862183,-0.027765343,,272992,0
11000,EXC,EXELON,0.01993617,-0.025293707,,11000,0
11094,PH,PARKER-HANNIFIN,0.023703835,-0.024479212,,11094,0
273035,PDCO,PATTERSON COMPANIES,0.019884774,-0.020304833,,273035,0
272942,PAYX,PAYCHEX,0.016978777,-0.017271793,,272942,0
661547,PPL,PPL,0.017133754,-0.018668639,,661547,0
11017,PEP,PEPSICO,0.013887192,-0.014447284,,11017,0
11031,PFE,PFIZER,0.017463902,-0.017433152,,11031,0
10885,COP,CONOCOPHILLIPS,0.022770785,-0.024726095,,10885,0
2586035,PCG,PG&E,0.017043478,-0.016908468,,2586035,0
10920,PBI,PITNEY-BOWES,0.022216458,-0.022814499,,10920,0
3142097,PXD,PIONEER NTRL.RES.,0.033460228,-0.03397918,,3142097,0
9769,MO,ALTRIA GROUP,0.014483256,-0.016334764,,9769,0
11240,PNC,PNC FINL.SVS.GP.,0.039882891,-0.036716298,,11240,0
11070844,AET,AETNA,0.030466289,-0.029968963,,11070844,0
11218575,FLR,FLUOR,0.030506173,-0.034264257,,11218575,0
11295,PPG,PPG INDUSTRIES,0.020903532,-0.020532289,,11295,0
11450,PX,PRAXAIR,0.021097546,-0.019992986,,11450,0
272997,COST,COSTCO WHOLESALE,0.018158996,-0.018786672,,272997,0
275321,TROW,T ROWE PRICE GROUP,0.033346154,-0.032560041,,275321,0
2459465,DGX,QUEST DIAGNOSTICS,0.01778903,-0.019394892,,2459465,0
11054,PG,PROCTER & GAMBLE,0.013538991,-0.015432606,,11054,0
11080,PGR,PROGRESSIVE OHIO,0.027307918,-0.024545819,,11080,0
11005,PEG,PUB.SER.ENTER.GP.,0.018780488,-0.020184408,,11005,0
11109,PHM,PULTEGROUP,0.05044479,-0.043504995,,11109,0
273544,QCOM,QUALCOMM,0.021473908,-0.023805956,,273544,0
10672,O,REALTY INCOME,0.030570645,-0.029705394,,10672,0
273733,REGN,REGENERON PHARMS.,0.039677165,-0.036598193,,273733,0
4528615,AN,AUTONATION,0.04504947,-0.033453402,,4528615,0
11669769,USB,US BANCORP,0.035054945,-0.034639857,,11669769,0
273939,ROST,ROSS STORES,0.024647443,-0.022064844,,273939,0
2585629,ROP,ROPER TECHNOLOGIES,0.0237393,-0.02228523,,2585629,0
11697,ROK,ROCKWELL AUTOMATION,0.026,-0.026163743,,11697,0
11520,RCL,ROYAL CARIBBEAN CRUISES,0.04021313,-0.041,,11520,0
11758,RTN,RAYTHEON 'B',0.017515765,-0.017151547,,11758,0
11478,R,RYDER SYSTEM,0.029350676,-0.028165834,,11478,0
12362013,ADS,ALLIANCE DATA SYSTEMS,0.028688232,-0.031826365,,12362013,0
12379601,FTI,FMC TECHNOLOGIES,0.031437309,-0.032258743,,12379601,0
12588744,COL,ROCKWELL COLLINS,0.02,-0.02022449,,12588744,0
2467215,STJ,ST.JUDE MEDICAL,0.021766954,-0.021957108,,2467215,0
43150617,TRV,TRAVELERS COS.,0.028204013,-0.024276139,,43150617,0
37866641,FIS,FIDELITY NAT.INFO.SVS.,0.024,-0.021438573,,37866641,0
70101545,MRK,MERCK & COMPANY,0.019594189,-0.021319328,,70101545,0
4651842,PCLN,PRICELINE GROUP,0.030131573,-0.030284553,,4651842,0
12200,SLB,SCHLUMBERGER,0.025081967,-0.028684054,,12200,0
11905,SCHW,CHARLES SCHWAB,0.031,-0.03116775,,11905,0
12851783,ZBH,ZIMMER BIOMET HDG.,0.019792494,-0.019707216,,12851783,0
1714996,ABC,AMERISOURCEBERGEN,0.019,-0.020474359,,1714996,0
11032,PFG,PRINCIPAL FINL.GP.,0.051421166,-0.056804731,,11032,0
12120,SHW,SHERWIN-WILLIAMS,0.024,-0.019994372,,12120,0
2009113,SPG,SIMON PROPERTY GROUP,0.040623385,-0.036385093,,2009113,0
12259,SNA,SNAP-ON,0.023,-0.022492147,,12259,0
13865082,PRU,PRUDENTIAL FINL.,0.052325858,-0.053095694,,13865082,0
4027,AAP,ADV.AUTO PARTS,0.025459245,-0.022280899,,4027,0
12531,SWN,SOUTHWESTERN ENERGY,0.043805116,-0.041494781,,12531,0
11899,EIX,EDISON INTL.,0.017,-0.019135368,,11899,0
12300,SO,SOUTHERN,0.013294001,-0.014318349,,12300,0
2806100,BBT,BB&T,0.038491228,-0.038259565,,2806100,0
9282,LUV,SOUTHWEST AIRLINES,0.025385795,-0.029007752,,9282,0
37018770,T,AT&T,0.017536946,-0.01873913,,37018770,0
5684,CVX,CHEVRON,0.019289536,-0.019569403,,5684,0
274599,SPLS,STAPLES,0.027,-0.025639344,,274599,0
2730980,STT,STATE STREET,0.043415478,-0.042275521,,2730980,0
274105,SBUX,STARBUCKS,0.027659389,-0.023296651,,274105,0
12002,PSA,PUBLIC STORAGE,0.034266416,-0.028453184,,12002,0
4430948,SYK,STRYKER,0.017,-0.019447244,,4430948,0
15124833,NFLX,NETFLIX,0.04083827,-0.03388263,,15124833,0
6478100,SRCL,STERICYCLE,0.020345451,-0.01834381,,6478100,0
12451,STI,SUNTRUST BANKS,0.051150021,-0.047785614,,12451,0
274925,SYMC,SYMANTEC,0.023751174,-0.022742616,,274925,0
12581,SYY,SYSCO,0.016692112,-0.017885108,,12581,0
9063285,ISRG,INTUITIVE SURGICAL,0.03031038,-0.02786374,,9063285,0
12687,TE,TECO ENERGY,0.018,-0.019668693,,12687,0
13011,TSO,TESORO,0.036712071,-0.038558698,,13011,0
13096,TXN,TEXAS INSTRUMENTS,0.023,-0.021442308,,13096,0
13101,TXT,TEXTRON,0.037797166,-0.042563906,,13101,0
12869,TMO,THERMO FISHER SCIENTIFIC,0.020295153,-0.021736182,,12869,0
12791,TIF,TIFFANY & CO,0.031477215,-0.028906784,,12791,0
12856,TMK,TORCHMARK,0.031131455,-0.029985714,,12856,0
13014,TSS,TOTAL SYSTEM SERVICES,0.024476384,-0.020904737,,13014,0
1035459,DVA,DAVITA HEALTHCARE PTNS.,0.020655172,-0.019203309,,1035459,0
6858322,TSCO,TRACTOR SUPPLY,0.027170785,-0.025954023,,6858322,0
275405,TSN,TYSON FOODS 'A',0.028586572,-0.030075671,,275405,0
9831,MRO,MARATHON OIL,0.028776301,-0.034435731,,9831,0
13284,UNP,UNION PACIFIC,0.025087141,-0.02578039,,13284,0
13364,UTX,UNITED TECHNOLOGIES,0.01686021,-0.018117145,,13364,0
13272,UNH,UNITEDHEALTH GROUP,0.027628661,-0.028319842,,13272,0
13206,UHS,UNIVERSAL HEALTH SVS.'B',0.025,-0.024631375,,13206,0
13400,VAR,VARIAN MEDICAL SYSTEMS,0.020816568,-0.023895815,,13400,0
4044062,VTR,VENTAS,0.033,-0.039755708,,4044062,0
13440,VFC,V F,0.02268973,-0.02296727,,13440,0
275850,VRTX,VERTEX PHARMS.,0.035,-0.03395986,,275850,0
13515,VMC,VULCAN MATERIALS,0.036,-0.030391208,,13515,0
275527,URBN,URBAN OUTFITTERS,0.033740718,-0.03074412,,275527,0
13535,VNO,VORNADO REALTY TRUST,0.038263969,-0.038938924,,13535,0
13824,WMT,WAL MART STORES,0.015,-0.01473913,,13824,0
13379,WM,WASTE MANAGEMENT,0.017373826,-0.019716724,,13379,0
1448494,WAT,WATERS,0.022432169,-0.020213898,,1448494,0
15130038,SJM,J M SMUCKER,0.015316433,-0.016264534,,15130038,0
13681,WDC,WESTERN DIGITAL,0.033,-0.033928105,,13681,0
13949,WY,WEYERHAEUSER,0.027,-0.029,,13949,0
13751,WHR,WHIRLPOOL,0.032168178,-0.031814819,,13751,0
4726021,SWKS,SKYWORKS SOLUTIONS,0.034811189,-0.036643154,,4726021,0
16454492,WYNN,WYNN RESORTS,0.043971532,-0.041576071,,16454492,0
276024,WFM,WHOLE FOODS MARKET,0.031497041,-0.028984733,,276024,0
29380756,NDAQ,NASDAQ,0.035272819,-0.033454545,,29380756,0
45127739,CME,CME GROUP,0.031942458,-0.032097788,,45127739,0
13805,WMB,WILLIAMS,0.035243263,-0.0389522,,13805,0
2586156,KMX,CARMAX,0.037197719,-0.034964809,,2586156,0
13980,XRX,XEROX,0.025375328,-0.028552661,,13980,0
276222,XLNX,XILINX,0.024228194,-0.022150754,,276222,0
3312890,YHOO,YAHOO,0.026582949,-0.028026237,,4065,-3308825
16191746,XEC,CIMAREX EN.,0.031306828,-0.032824316,,16191746,0
12814,TJX,TJX,0.023961264,-0.021484234,,12814,0
276329,ZION,ZIONS BANCORP.,0.055,-0.050114943,,276329,0
273815,RF,REGIONS FINL.NEW,0.068718447,-0.057978224,,273815,0
33191300,TAP,MOLSON COORS BREWING 'B',0.01933449,-0.020045855,,33191300,0
